Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
PLAG,Planet Green Holdings Corp. Common Stock,$0.3099,0.0009,0.291%,22338190.00,China,,3865,Consumer Staples,Packaged Foods
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),$1.00,0.018,1.833%,102376675.00,Canada,,9925,Basic Materials,Precious Metals
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,$1.575,0.035,2.273%,114899595.00,Israel,,33472,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PMNT,Perfect Moment Ltd. Common Stock,$4.75,0.05,1.064%,0.00,United Kingdom,2024,477,,
POL,Polished Inc. Common Stock,$1.847,0.017,0.929%,3895964.00,United States,2020,3164,Consumer Discretionary,Home Furnishings
PRK,Park National Corporation Common Stock,$129.255,1.755,1.376%,2083135493.00,United States,1994,2358,Finance,Major Banks
PTN,Palatin Technologies Inc. Common Stock,$1.99,-0.46,-18.776%,32111914.00,United States,1999,693653,Health Care,Biotechnology: Pharmaceutical Preparations
PW,Power REIT (MD) Common Stock,$0.6266,0.0016,0.256%,2123962.00,United States,1998,3520,Real Estate,Real Estate Investment Trusts
PW^A,Power REIT 7.75% Series A Cumulative Perpetual Preferred Stock,$3.59,0.00,0.00%,,United States,,72,,
PZG,Paramount Gold Nevada Corp. Common Stock,$0.3129,-0.0191,-5.753%,18871104.00,United States,2015,37036,Basic Materials,Metal Mining
RCG,RENN Fund Inc Common Stock,$1.57,0.00,0.00%,0.00,United States,,49,Finance,Investment Managers
REI,Ring Energy Inc. Common Stock,$1.42,0.02,1.429%,277795027.00,United States,,245506,Energy,Oil & Gas Production
REPX,Riley Exploration Permian Inc. Common Stock,$23.72,0.58,2.506%,484509440.00,United States,1999,8535,Energy,Oil & Gas Production
RHE,Regional Health Properties Inc. Common Stock,$2.48,0.00,0.00%,4669909.00,,2017,11,Real Estate,Real Estate
RHE^A,Regional Health Properties Inc. 10.875% Series A Cumulative Redeemable Preferred Stock,$0.6901,0.00,0.00%,,,,1,,
RLGT,Radiant Logistics Inc. Common Stock,$5.82,0.09,1.571%,273092070.00,United States,,4954,Consumer Discretionary,Oil Refining/Marketing
RVP,Retractable Technologies Inc. Common Stock,$1.31,-0.01,-0.758%,39217678.00,United States,2001,14510,Health Care,Medical/Dental Instruments
SACC,Sachem Capital Corp. 6.875% Notes due 2024,$24.68,-0.0448,-0.181%,1119396668.00,United States,2019,981,Real Estate,Real Estate Investment Trusts
SACH,Sachem Capital Corp. Common Shares,$3.835,0.025,0.656%,173941905.00,United States,2017,15970,Real Estate,Real Estate Investment Trusts
SACH^A,Sachem Capital Corp. 7.75% Series A Cumulative Redeemable Preferred Stock,$21.5001,-0.1998,-0.921%,,United States,,1451,,
SATX,SatixFy Communications Ltd. Ordinary Share,$0.59,-0.0154,-2.544%,47646611.00,,2022,69861,Technology,Radio And Television Broadcasting And Communications Equipment
SBEV,Splash Beverage Group Inc. (NV) Common Stock,$0.56,0.0152,2.79%,24537955.00,,2021,18370,Consumer Staples,Beverages (Production/Distribution)
SCCB,Sachem Capital Corp. 7.125% Notes due 2024,$25.1999,0.0412,0.164%,1142977475.00,United States,2019,601,Real Estate,Real Estate Investment Trusts
SCCC,Sachem Capital Corp. 7.75% Notes due 2025,$24.88,0.00,0.00%,1128467954.00,United States,2020,56,Real Estate,Real Estate Investment Trusts
SCCD,Sachem Capital Corp. 6.00% Notes due 2026,$22.07,0.00,0.00%,1001016388.00,United States,,3,Real Estate,Real Estate Investment Trusts
SCCE,Sachem Capital Corp. 6.00% Notes due 2027,$22.03,-0.02,-0.091%,999202131.00,United States,2022,674,Real Estate,Real Estate Investment Trusts
SCCG,Sachem Capital Corp. 8.00% Notes due 2027,$23.50,0.15,0.642%,1065876082.00,United States,2022,459,Real Estate,Real Estate Investment Trusts
SCPX,Scorpius Holdings Inc. Common Stock,$0.33,0.01,3.125%,8607024.00,United States,2022,24828,Health Care,Biotechnology: Pharmaceutical Preparations
SDPI,Superior Drilling Products Inc. Common Stock,$0.71,0.01,1.429%,21577780.00,,2014,8029,Industrials,Metal Fabrications
SEB,Seaboard Corporation Common Stock,$3356.755,2.175,0.065%,3259593727.00,United States,1996,107,Industrials,Farming/Seeds/Milling
SENS,Senseonics Holdings Inc. Common Stock,$0.7188,0.0185,2.642%,379728674.00,United States,,863578,Industrials,Industrial Machinery/Components
SGE,Strong Global Entertainment Inc. Class A Common Voting Shares,$1.1501,-0.0021,-0.182%,9060306.00,,2023,208,Consumer Discretionary,Industrial Machinery/Components
SGN,Signing Day Sports Inc. Common Stock,$0.6999,0.00,0.00%,9272662.00,,2023,201,,
SIF,SIFCO Industries Inc. Common Stock,$3.15,0.00,0.00%,19403959.00,United States,1969,14,Industrials,Aerospace
SILV,SilverCrest Metals Inc. Common Shares,$5.21,0.23,4.618%,759661576.00,Canada,2018,185439,Basic Materials,Precious Metals
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,$30.36,0.00,0.00%,4676815187.00,Mexico,1998,11,Industrials,Steel/Iron Ore
SKYH,Sky Harbour Group Corporation Class A Common Stock,$11.70,-0.57,-4.645%,747568762.00,,2022,983,Industrials,Military/Government/Technical
SLI,Standard Lithium Ltd. Common Shares,$1.30,0.05,4.00%,224707856.00,Canada,2021,163055,,
SLND,Southland Holdings Inc. Common Stock,$4.64,0.00,0.00%,222218806.00,United States,,71,Industrials,Military/Government/Technical
SOAR,Volato Group Inc. Class A Common Stock,$3.95,-0.10,-2.469%,52705237.00,,2022,3295,Finance,Blank Checks
SSY,SunLink Health Systems Inc. Common Stock,$0.79,0.00,0.00%,5562076.00,United States,1996,201,Health Care,Hospital/Nursing Management
STRW,Strawberry Fields REIT Inc. Common Stock,$7.94,0.00,0.00%,51050341.00,,2023,72,Real Estate,Real Estate Investment Trusts
STXS,Stereotaxis Inc. Common Stock,$2.82,0.01,0.356%,228094462.00,United States,,23448,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SVM,Silvercorp Metals Inc. Common Shares,$2.45,0.07,2.941%,434576585.00,Canada,,235434,,
SVT,Servotronics Inc. Common Stock,$13.27,0.01,0.075%,33124720.00,United States,1970,162,Consumer Discretionary,Industrial Machinery/Components
SYNX,Silynxcom Ltd. Ordinary Shares,$3.575,0.025,0.704%,18768750.00,,2024,3065,,
TELL,Tellurian Inc. Common Stock,$0.7845,0.0443,5.985%,613787647.00,United States,,2693585,Energy,Oil & Gas Production
TELZ,Tellurian Inc. 8.25% Senior Notes due 2028,$14.55,0.0199,0.137%,11383824421.00,United States,,824,Energy,Oil & Gas Production
TGB,Taseko Mines Ltd. Common Stock,$1.515,0.035,2.365%,437421405.00,Canada,,105508,Basic Materials,Precious Metals
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$0.47,-0.0351,-6.949%,92066200.00,Canada,,58097,Basic Materials,Metal Mining
TMP,Tompkins Financial Corporation Common Stock,$48.57,1.04,2.188%,696988097.00,United States,1997,5231,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,$0.433,0.008,1.882%,69171349.00,Canada,,13706,Basic Materials,Precious Metals
TOON,Kartoon Studios Inc. Common Stock,$1.6401,-0.0099,-0.60%,57713681.00,United States,,70862,Consumer Discretionary,Movies/Entertainment
TOVX,Theriva Biologics Inc. Common Stock,$0.456,0.002,0.441%,7771501.00,United States,,16112,Health Care,Biotechnology: Pharmaceutical Preparations
TPET,Trio Petroleum Corp. Common Stock,$0.0985,-0.0045,-4.369%,3141982.00,,2023,158272,Energy,Oil & Gas Production
TPHS,Trinity Place Holdings Inc. Common Stock,$0.155,-0.006,-3.727%,5958942.00,,,9617,Real Estate,Building operators
TRT,Trio-Tech International Common Stock,$5.67,-0.0715,-1.245%,23641377.00,United States,1998,506,Technology,Industrial Machinery/Components
TRX,TRX Gold Corporation Common Stock,$0.3299,0.0094,2.933%,92072033.00,Canada,,46652,,
UAMY,United States Antimony Corporation Common Stock,$0.2219,0.0044,2.023%,23886940.00,United States,,25177,,
UAVS,AgEagle Aerial Systems Inc. Common Stock,$1.20,0.00,0.00%,8551210.00,United States,,67849,Industrials,Aerospace
UEC,Uranium Energy Corp. Common Stock,$6.47,0.11,1.73%,2542578814.00,Canada,,511276,Basic Materials,Other Metals and Minerals
UMAC,Unusual Machines Inc. Common Stock,$2.78,-0.18,-6.081%,24233969.00,,2024,3099,,
URG,Ur Energy Inc Common Shares (Canada),$1.615,0.045,2.866%,429572426.00,Canada,,351255,Basic Materials,Precious Metals
USAS,Americas Gold and Silver Corporation Common Shares no par value,$0.2083,0.004,1.958%,45217273.00,Canada,2017,135431,Basic Materials,Metal Mining
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$26.22,0.12,0.46%,0.00,United States,2004,89633,Finance,Investment Managers
UUU,Universal Security Instruments Inc. Common Stock,$1.45,-0.01,-0.685%,3353686.00,United States,2003,825,Technology,Electronic Components
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$6.46,0.04,0.623%,1056662710.00,Canada,,283446,,
VCXB,10X Capital Venture Acquisition Corp. III Class A Ordinary Shares,$10.78,0.00,0.00%,163955068.00,,2022,30,Finance,Blank Checks
VFL,abrdn National Municipal Income Fund Common Stock,$10.27,0.02,0.195%,0.00,United States,1993,7110,Finance,Finance/Investors Services
VGZ,Vista Gold Corp Common Stock,$0.351,0.001,0.286%,42502061.00,United States,1986,25386,Basic Materials,Precious Metals
VINE,Fresh Vine Wine Inc. Common Stock,$0.85,-0.0081,-0.944%,13579793.00,,2021,18127,Consumer Staples,Beverages (Production/Distribution)
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$8.54,0.05,0.589%,379227411.00,United States,1993,19792,Finance,Finance Companies
VNRX,VolitionRX Limited Common Stock,$1.0193,0.0093,0.921%,80204510.00,Singapore,2015,1827,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
